Position number,Processor type,processor speed,RAM,J. David Eisenberg machine number or pre-existing Eisenberg's 2015 donation,J. David Eisenberg monitor number or pre-existing Eisenberg's 2015 donation,Comments
1,Pentium 4,3 Ghz,1 GB,partimus603309239,,
2,AMD 64 2x,?,2 GB,Pre-existing,eisenberg 17,
3,Pentium 4,1.8 Gh,500 MB,Pre-existing,,Server candidate? Needs at least 4 GB storage for comfort
4,Pentium 4,2.8 Ghz,1 GB,Pre-existing,,
5,Pentium 4,3 Ghz,1 GB,partimus603309240,,
6,Pentium 4,2.26 Ghz,1 GB,Pre-existing,,
7,Pentium 4,2.8 Ghz,1.5 GB,Pre-existing,,
8,Pentium D,3 Ghz,3 GB,Pre-existing,,
9,Celeron,2.53 Ghz,1 GB,Pre-existing,,
10,Celeron,2.53 Ghz,1 GB,Pre-existing,,
11,Pentium 4,2.8 Ghz,1 GB,Pre-existing,,
12,Intel 4x Core i5-2560,3.3Ghz,4GB,Pre-existing,,
13,Pentium D,3 Ghz,2 GB,Pre-existing,,
14,Pentium D,3 Ghz,2 GB,Pre-existing,,
15,Pentium R 2x,3 Ghz,1 GB,partimus603309234,eisenberg 29,partimus603309234 is fully tested and fully installed with all of the needed software except for the CASecureBrowser6.5 as of 2015.04.17
16,Pentium D,3 Ghz,2 GB,Pre-existing,,
17,2x Intel Core,3 Ghz,2 GB,Pre-existing,,
18,2x Pentium 4,2.8 Ghz,1 GB,Pre-existing,eisenberg 8,
19,2x Pentium 4,2.8 Ghz,3 GB,Pre-existing,,
20,AMD 64 2x 4600 dual core,?,2 GB,Pre-existing,,
21,Celeron,2.53 Ghz,750 MB,Pre-existing,,
22,2x Pentium 4,2.8 Ghz,1 GB,Pre-existing,,
23,2x Pentium 4,3 Ghz,2 GB,Pre-existing,,
24,Pentium 4,3 Ghz,1 GB,partimus603309244,,
25,2x Pentium dual E2160,1.8 Ghz,3 GB,Pre-existing,,
,,,,,,
backup machines,The administrator password for all backup machines is Ed4Chg3?,,,,,
,The student account does not require a password,,,,,
,,,,,,
,Pentium R 2x,3 Ghz,1 GB,partimus603309232,eisenberg 29,partimus603309232 is fully tested and fully installed with all of the needed software except for the CASecureBrowser6.5 as of 2015.04.17
,Pentium R 2x,3 Ghz,1 GB,partimus603309239,eisenberg 29,partimus603309239 is fully tested and fully installed with all of the needed software except for the CASecureBrowser6.5 as of 2015.04.17
,Pentium R 2x,3 Ghz,1 GB,partimus603309243,eisenberg 29,partimus603309234 is fully tested and fully installed with all of the needed software except for the CASecureBrowser6.5 as of 2015.04.17
,Pentium R 2x,3 Ghz,1 GB,partimus603309228,eisenberg 29,partimus603309228 is fully tested but needs to be installed as of 2015.04.17
,Pentium R 2x,3 Ghz,1 GB,partimus603309228,eisenberg 29,partimus603309255 is was determined by J. David Eisenberg to be bad as of 2015.04.17.  Details needed.
,,,,,,
 formerly position 5,Pentium 4,2.53 Ghz,500 MB,Pre-existing,,This machine was in position 5.  I took it out of that position and put it in the backup line on Abigail's counter behind her desk
,,,,,,
formerly position 24,Pentium 4,2 Ghz,500 MB,Pre-existing,,"This machine is still sitting in position 24, but it is just a pedestal.  It is not plugged in, due to the fact that it is so slow and low spec.  It is basically no longer in production at all.  The machine beside it is actually the machine that is plugged in."
